machine_no,island_id,side,position_order,x,y,rotation,slot_index,shape
561,E04,E,1,1478,77.0,0,0,rect
562,E04,E,2,1478,93.2,0,1,rect
563,E04,E,3,1478,109.4,0,2,rect
564,E04,E,4,1478,125.6,0,3,rect
565,E04,E,5,1478,141.8,0,4,rect
566,E04,E,6,1478,158.0,0,5,rect
567,E04,E,7,1478,174.2,0,6,rect
568,E04,E,8,1478,190.4,0,7,rect
569,E04,E,9,1478,206.6,0,8,rect
570,E04,E,10,1478,222.8,0,9,rect
571,E04,E,11,1478,239.0,0,10,rect
572,E04,E,12,1478,255.2,0,11,rect
573,E04,E,13,1478,271.4,0,12,rect
574,E04,E,14,1478,287.6,0,13,rect
575,E04,E,15,1478,303.8,0,14,rect
576,E04,E,16,1478,320.0,0,15,rect
577,E04,E,17,1478,336.2,0,16,rect
578,E04,E,18,1478,352.4,0,17,rect
579,E04,E,19,1478,368.6,0,18,rect
580,E04,E,20,1478,384.8,0,19,rect
621,E03,E,20,1366,384.8,0,19,rect
622,E03,E,19,1366,368.6,0,18,rect
623,E03,E,18,1366,352.4,0,17,rect
624,E03,E,17,1366,336.2,0,16,rect
625,E03,E,16,1366,320.0,0,15,rect
626,E03,E,15,1366,303.8,0,14,rect
627,E03,E,14,1366,287.6,0,13,rect
628,E03,E,13,1366,271.4,0,12,rect
629,E03,E,12,1366,255.2,0,11,rect
630,E03,E,11,1366,239.0,0,10,rect
631,E03,E,10,1366,222.8,0,9,rect
632,E03,E,9,1366,206.6,0,8,rect
633,E03,E,8,1366,190.4,0,7,rect
634,E03,E,7,1366,174.2,0,6,rect
635,E03,E,6,1366,158.0,0,5,rect
636,E03,E,5,1366,141.8,0,4,rect
637,E03,E,4,1366,125.6,0,3,rect
638,E03,E,3,1366,109.4,0,2,rect
639,E03,E,2,1366,93.2,0,1,rect
640,E03,E,1,1366,77.0,0,0,rect
641,E03,W,1,1339,77.0,0,0,rect
642,E03,W,2,1339,93.2,0,1,rect
643,E03,W,3,1339,109.4,0,2,rect
644,E03,W,4,1339,125.6,0,3,rect
645,E03,W,5,1339,141.8,0,4,rect
646,E03,W,6,1339,158.0,0,5,rect
647,E03,W,7,1339,174.2,0,6,rect
648,E03,W,8,1339,190.4,0,7,rect
649,E03,W,9,1339,206.6,0,8,rect
650,E03,W,10,1339,222.8,0,9,rect
651,E03,W,11,1339,239.0,0,10,rect
652,E03,W,12,1339,255.2,0,11,rect
653,E03,W,13,1339,271.4,0,12,rect
654,E03,W,14,1339,287.6,0,13,rect
655,E03,W,15,1339,303.8,0,14,rect
656,E03,W,16,1339,320.0,0,15,rect
657,E03,W,17,1339,336.2,0,16,rect
658,E03,W,18,1339,352.4,0,17,rect
659,E03,W,19,1339,368.6,0,18,rect
660,E03,W,20,1339,384.8,0,19,rect
661,E07,W,1,1339,507.0,0,0,rect
662,E07,W,2,1339,523.5,0,1,rect
663,E07,W,3,1339,540.0,0,2,rect
664,E07,W,4,1339,556.5,0,3,rect
665,E07,W,5,1339,573.0,0,4,rect
666,E07,W,6,1339,589.5,0,5,rect
667,E07,W,7,1339,606.0,0,6,rect
668,E07,W,8,1339,622.5,0,7,rect
669,E07,W,9,1339,639.0,0,8,rect
670,E07,W,10,1339,655.5,0,9,rect
671,E07,W,11,1339,672.0,0,10,rect
672,E07,W,12,1339,688.5,0,11,rect
673,E07,W,13,1339,705.0,0,12,rect
674,E07,W,14,1339,721.5,0,13,rect
675,E07,W,15,1339,738.0,0,14,rect
676,E07,W,16,1339,754.5,0,15,rect
677,E07,W,17,1339,771.0,0,16,rect
678,E07,W,18,1339,787.5,0,17,rect
679,E07,W,19,1339,804.0,0,18,rect
680,E07,W,20,1339,820.5,0,19,rect
681,E06,E,20,1230,820.5,0,19,rect
682,E06,E,19,1230,804.0,0,18,rect
683,E06,E,18,1230,787.5,0,17,rect
684,E06,E,17,1230,771.0,0,16,rect
